time_ms,ax_raw_mps2,ay_raw_mps2,az_raw_mps2,ax_kf_mps2,ay_kf_mps2,az_kf_mps2,vx_2state_kf_lightlpf_mps,vy_2state_kf_lightlpf_mps,vz_2state_kf_lightlpf_mps,v_mag
365618.000000,-0.070000,0.130000,0.000000,0.000000,0.023594,0.000000,0.000073,0.000114,-0.000043,0.000142
365630.000000,-0.110000,0.100000,0.010000,0.000000,0.014383,0.000000,-0.000025,0.000010,0.000004,0.000027
365647.000000,-0.090000,0.130000,0.000000,0.000000,0.008768,0.000000,-0.000032,0.000043,0.000000,0.000054
365661.000000,-0.080000,0.120000,0.000000,0.000000,0.005345,0.000000,0.000013,0.000040,-0.000008,0.000043
365675.000000,-0.090000,0.130000,0.000000,0.000000,0.003258,0.000000,0.000007,0.000072,-0.000013,0.000073
365690.000000,-0.080000,0.130000,-0.020000,0.000000,0.001986,0.000000,0.000035,0.000093,-0.000090,0.000134
365707.000000,-0.090000,0.110000,-0.010000,0.000000,0.001211,0.000000,0.000015,0.000023,-0.000099,0.000103
365719.000000,-0.100000,0.120000,-0.030000,0.000000,0.000738,0.000000,-0.000033,0.000018,-0.000169,0.000173
365733.000000,-0.080000,0.120000,-0.010000,0.000000,0.000450,0.000000,0.000007,0.000021,-0.000148,0.000150
365749.000000,-0.100000,0.120000,-0.010000,0.000000,0.000274,0.000000,-0.000036,0.000022,-0.000117,0.000124
365762.000000,-0.090000,0.140000,0.000000,0.000000,0.000167,0.000000,-0.000030,0.000095,-0.000067,0.000120
365776.000000,-0.080000,0.140000,0.000000,0.000000,0.000102,0.000000,0.000016,0.000148,-0.000034,0.000152
365790.000000,-0.070000,0.120000,0.000000,0.000000,0.000062,0.000000,0.000083,0.000098,-0.000017,0.000129
365807.000000,-0.090000,0.120000,-0.020000,0.000000,0.000038,0.000000,0.000044,0.000052,-0.000085,0.000109
365821.000000,-0.090000,0.130000,0.000000,0.000000,0.000023,0.000000,0.000015,0.000069,-0.000055,0.000089
365838.000000,-0.090000,0.140000,0.000000,0.000000,0.000014,0.000000,-0.000002,0.000121,-0.000025,0.000124
365850.000000,-0.080000,0.140000,0.010000,0.000000,0.000009,0.000000,0.000026,0.000151,0.000022,0.000155
365868.000000,-0.080000,0.110000,0.010000,0.000000,0.000005,0.000000,0.000049,0.000047,0.000055,0.000087
365882.000000,-0.100000,0.120000,0.020000,0.000000,0.000003,0.000000,-0.000014,0.000022,0.000105,0.000108
365899.000000,-0.080000,0.120000,0.010000,0.000000,0.000002,0.000000,0.000017,0.000013,0.000096,0.000098
365937.000000,-0.090000,0.140000,0.000000,0.000000,0.000001,0.000000,0.000001,0.000065,0.000023,0.000069
